Country,Year,SST_C,Salinity_ppt,Chlorophyll_mg_m3,pH,Fleet_Size,Fishing_Effort_hours,Fuel_Consumption_L,Fish_Price_USD_ton,Fuel_Price_USD_L,Operating_Cost_USD,Capture_Production_Mt,Aquaculture_Production_Mt,Total_Production_Mt,CPUE,Sustainability_Score,Sustainable
Indonesia,2021,18.49,33.37,1.546,7.86,5000,128760.0,3646611.0,801.16,1.23,4533810.0,25.518,38.762,64.28,0.1982,0.506,1
Russia,2020,26.09,38.08,0.325,7.92,13718,28897.0,1383284.0,984.9,1.28,1858092.0,4.288,6.054,10.343,0.1484,0.497,0
Spain,2022,25.62,34.35,0.197,8.08,6286,14982.0,552819.0,1353.2,1.19,705989.0,1.442,3.584,5.026,0.0962,0.598,1
Mexico,2013,30.75,37.76,0.275,8.24,1401,28667.0,515162.0,1312.37,1.37,741997.0,0.519,0.773,1.292,0.0181,0.493,0
Iceland,2012,17.65,38.19,5.125,7.8,546,16804.0,499755.0,1713.5,1.48,773296.0,0.597,0.842,1.439,0.0356,0.592,1
Malaysia,2017,25.42,34.58,2.924,8.57,916,5536.0,253607.0,1907.37,1.39,445939.0,0.513,0.917,1.43,0.0927,0.692,1
Japan,2013,18.25,35.77,0.619,8.1,51,35087.0,633107.0,2146.16,0.7,526088.0,2.568,1.831,4.4,0.0732,0.575,1
Mexico,2010,30.75,32.96,0.497,8.0,6728,7794.0,352827.0,1458.71,1.49,569246.0,0.624,1.205,1.829,0.08,0.537,1
Philippines,2016,18.94,34.46,1.168,8.12,3599,40770.0,1690090.0,826.68,0.78,1404269.0,0.827,0.888,1.714,0.0203,0.619,1
Spain,2014,23.54,30.69,1.329,8.14,1387,2768.0,73578.0,343.5,0.88,99430.0,1.923,2.394,4.317,0.6945,0.715,1
Japan,2014,29.39,35.22,5.724,8.04,5638,10101.0,190844.0,949.61,1.93,426609.0,1.76,2.082,3.843,0.1743,0.61,1
Morocco,2015,22.56,35.89,0.123,8.38,22304,2142.0,81078.0,710.42,1.36,107583.0,0.723,1.187,1.909,0.3372,0.631,1
Argentina,2022,22.02,36.52,0.993,8.17,2786,7964.0,323268.0,1114.54,1.53,558192.0,2.911,4.197,7.108,0.3655,0.695,1
Spain,2020,35.1,32.78,4.324,8.3,4541,127851.0,5554448.0,1313.86,1.3,7237419.0,0.526,0.853,1.379,0.0041,0.425,0
Morocco,2012,21.07,34.82,2.783,8.06,1045,16719.0,529496.0,1755.22,1.02,593248.0,1.504,2.751,4.255,0.0899,0.669,1
Mexico,2013,12.62,36.24,0.53,7.86,1168,18315.0,453900.0,2646.11,1.12,581952.0,1.094,1.862,2.956,0.0597,0.59,1
Spain,2018,26.84,36.2,1.951,7.95,3371,34797.0,1436356.0,2270.85,1.43,2109776.0,0.465,0.394,0.86,0.0134,0.525,1
Peru,2012,18.4,36.06,1.163,8.08,5084,27392.0,1105219.0,2565.68,1.52,1735363.0,4.422,3.676,8.099,0.1614,0.616,1
Philippines,2022,26.71,33.3,0.521,7.88,918,15207.0,704276.0,543.06,0.79,605793.0,2.094,4.019,6.113,0.1377,0.599,1
Thailand,2012,27.54,36.19,2.526,7.88,3454,20893.0,740763.0,609.23,0.93,751949.0,1.36,2.238,3.599,0.0651,0.585,1
Philippines,2016,17.26,34.69,3.7,8.25,10142,14609.0,417216.0,850.91,1.03,449092.0,2.257,3.45,5.707,0.1545,0.6,1
Malaysia,2011,15.21,34.35,5.622,8.12,51282,10688.0,147208.0,1590.71,1.38,301692.0,1.247,1.476,2.722,0.1166,0.607,1
India,2013,16.12,34.41,3.002,7.89,15835,22814.0,233018.0,629.86,1.16,333855.0,8.744,10.806,19.55,0.3833,0.591,1
Vietnam,2022,26.42,37.34,1.263,7.89,14499,26874.0,676279.0,2197.28,0.75,545526.0,8.6,11.665,20.264,0.32,0.581,1
Spain,2019,33.1,33.82,1.132,8.49,1396,7640.0,364159.0,2300.38,1.2,461606.0,1.638,3.469,5.107,0.2143,0.616,1
Chile,2015,24.02,32.96,0.299,8.17,1641,135937.0,4990315.0,927.44,1.3,6581973.0,2.725,5.211,7.936,0.02,0.426,0
Russia,2012,26.27,37.37,1.35,7.97,4140,14482.0,488971.0,1242.03,1.09,584597.0,2.677,5.663,8.34,0.1848,0.602,1
Ecuador,2013,26.17,38.29,1.555,8.1,652,97931.0,4113387.0,811.1,1.01,4217908.0,0.76,1.393,2.153,0.0078,0.429,0
Malaysia,2013,30.04,30.97,0.286,8.25,4783,36086.0,1500315.0,435.81,0.84,1307068.0,0.493,0.659,1.152,0.0137,0.478,0
Philippines,2013,23.67,35.04,1.722,7.86,1520,65541.0,1582680.0,1678.3,1.65,2660172.0,1.154,1.112,2.266,0.0176,0.562,1
India,2021,15.91,33.31,0.976,7.72,1651,6729.0,262422.0,343.44,1.75,525460.0,16.329,26.699,43.028,2.4264,0.684,1
Mexico,2016,16.08,34.0,5.489,8.09,20,5070.0,220689.0,1764.68,1.09,256484.0,2.042,3.502,5.543,0.4027,0.627,1
Japan,2022,17.38,35.09,3.837,8.12,39784,16920.0,825858.0,1810.44,1.23,1068052.0,4.012,3.706,7.717,0.2371,0.583,1
India,2021,26.24,34.61,3.982,8.47,138,55954.0,2317946.0,941.62,1.42,3355758.0,13.745,29.175,42.92,0.2456,0.52,1
Chile,2023,30.14,40.06,1.867,8.23,23126,12322.0,308815.0,1170.55,0.97,331953.0,3.29,4.29,7.58,0.267,0.608,1
Japan,2011,22.71,36.15,2.1,8.3,23345,40427.0,1233697.0,1312.74,1.25,1622106.0,2.179,3.445,5.624,0.0539,0.621,1
Argentina,2016,17.64,36.4,0.324,8.41,2283,29885.0,631731.0,695.9,0.97,674613.0,1.266,2.18,3.446,0.0424,0.492,0
South Korea,2023,26.41,38.11,6.769,8.27,4527,5285.0,233922.0,535.27,0.88,247864.0,2.677,3.346,6.022,0.5064,0.63,1
Morocco,2020,29.82,32.53,0.367,8.12,1633,120511.0,2132124.0,1879.95,1.46,3137438.0,0.717,1.652,2.369,0.0059,0.35,0
Spain,2020,31.71,34.03,0.127,8.22,23979,16256.0,343419.0,885.14,0.95,377956.0,0.902,2.589,3.491,0.0555,0.519,1
Iceland,2013,23.15,34.01,0.527,7.9,12232,11564.0,538044.0,404.45,0.81,500694.0,0.564,0.686,1.25,0.0488,0.678,1
India,2019,21.02,37.96,0.674,8.22,8871,34313.0,832797.0,733.04,1.5,1289660.0,12.981,21.807,34.788,0.3783,0.643,1
India,2019,20.39,35.45,1.291,8.09,422,31204.0,1497648.0,760.34,1.32,2020784.0,14.004,19.216,33.219,0.4488,0.651,1
Peru,2015,28.32,33.31,1.722,8.14,4429,78618.0,2852350.0,984.01,1.46,4217473.0,3.094,7.538,10.632,0.0393,0.469,0
Peru,2017,24.53,32.15,1.557,8.14,4443,53478.0,2381850.0,2338.79,1.33,3212475.0,6.639,9.902,16.541,0.1241,0.597,1
Chile,2016,12.46,33.28,0.661,8.48,6869,5794.0,116535.0,431.48,1.51,234396.0,2.22,3.63,5.85,0.3831,0.625,1
Japan,2023,24.17,32.84,0.529,8.09,831,75646.0,1425889.0,1061.74,1.56,2265236.0,5.195,5.426,10.621,0.0687,0.551,1
Spain,2014,21.29,33.48,1.897,8.13,578,9677.0,349990.0,508.83,1.53,570105.0,0.711,1.201,1.912,0.0735,0.683,1
Mexico,2021,18.19,32.55,1.965,8.18,3839,19608.0,539742.0,947.51,1.68,948992.0,2.375,3.245,5.62,0.1211,0.664,1
Peru,2023,23.59,34.33,0.911,7.99,307,30382.0,914398.0,1308.68,1.12,1104480.0,7.738,13.442,21.181,0.2547,0.647,1
Iceland,2011,29.15,38.25,0.605,8.04,4496,25639.0,1122654.0,2053.72,0.61,712340.0,0.985,1.208,2.193,0.0384,0.575,1
Iceland,2017,24.5,34.44,1.402,8.05,19466,27618.0,1063681.0,643.7,1.56,1692717.0,1.815,2.796,4.612,0.0657,0.647,1
India,2015,18.68,37.98,0.23,8.4,2074,2127.0,47166.0,553.71,1.14,122802.0,8.39,19.837,28.227,3.9433,0.739,1
Indonesia,2022,28.95,34.46,2.567,8.32,15137,12501.0,151212.0,871.3,0.91,187460.0,20.049,48.854,68.903,1.6036,0.648,1
USA,2016,21.69,33.05,0.381,8.02,371,11033.0,219717.0,1849.31,0.91,277922.0,3.285,2.7,5.985,0.2977,0.576,1
Mexico,2017,26.23,30.75,0.906,7.98,5700,35244.0,668671.0,1506.93,1.04,702616.0,2.694,1.826,4.52,0.0764,0.492,0
Argentina,2023,18.95,34.98,0.518,7.71,1082,43180.0,710513.0,335.25,1.6,1192085.0,3.023,2.387,5.411,0.07,0.574,1
Ecuador,2018,16.23,31.5,0.677,8.13,2578,14531.0,550526.0,1425.95,0.86,533181.0,1.22,1.12,2.34,0.084,0.582,1
USA,2012,20.37,36.52,0.318,8.2,12829,15131.0,245921.0,1980.64,0.97,314156.0,2.564,3.083,5.647,0.1695,0.6,1
Indonesia,2022,26.46,38.66,0.664,8.24,91352,11877.0,314118.0,437.89,0.96,375907.0,22.279,48.388,70.668,1.8757,0.658,1
Norway,2017,23.05,37.94,1.344,8.23,1005,39590.0,558762.0,899.59,1.47,880472.0,2.022,3.411,5.433,0.0511,0.622,1
Spain,2015,25.68,38.56,0.191,8.0,989,45319.0,1708258.0,1494.15,0.81,1409187.0,0.993,1.267,2.26,0.0219,0.535,1
Ecuador,2011,25.55,33.31,3.489,8.26,2811,14503.0,152964.0,398.26,1.14,218605.0,0.273,0.508,0.781,0.0188,0.672,1
China,2012,19.27,33.26,1.245,8.12,33971,154994.0,4651549.0,476.13,1.52,7105820.0,41.151,77.742,118.893,0.2655,0.508,1
Vietnam,2015,25.86,36.21,1.347,8.23,14576,31813.0,694565.0,1180.91,1.4,996716.0,6.321,8.748,15.069,0.1987,0.642,1
Malaysia,2015,21.58,28.62,1.979,8.04,394,55413.0,1216381.0,1468.47,0.63,841339.0,1.582,2.579,4.161,0.0285,0.59,1
Peru,2021,23.13,34.13,0.09,7.94,2262,3094.0,89913.0,900.26,1.16,114494.0,6.726,10.705,17.43,2.1729,0.684,1
Argentina,2012,26.21,37.41,1.209,7.9,9616,11795.0,318897.0,1540.34,1.53,522514.0,0.844,1.464,2.309,0.0716,0.604,1
Norway,2012,27.24,37.48,14.649,7.9,609,55349.0,1996773.0,752.23,0.97,1995538.0,0.524,0.678,1.201,0.0095,0.515,1
Norway,2015,18.63,31.95,5.42,8.32,569,25226.0,1153975.0,773.05,1.55,1838143.0,1.482,2.575,4.057,0.0587,0.651,1
South Korea,2018,25.48,36.25,1.205,7.86,15230,49918.0,2076598.0,382.44,1.43,2986945.0,2.181,4.078,6.26,0.0437,0.601,1
Morocco,2010,24.29,33.04,0.316,7.76,202,5679.0,206650.0,2970.29,0.97,253118.0,0.834,0.766,1.601,0.1469,0.602,1
Philippines,2018,24.55,31.41,4.439,7.93,1733,7203.0,283615.0,916.58,1.85,598361.0,2.072,2.591,4.663,0.2877,0.694,1
Morocco,2013,22.62,33.42,0.815,8.26,938,14182.0,227726.0,2940.31,0.78,238695.0,1.361,0.931,2.292,0.096,0.611,1
Norway,2011,29.45,35.98,1.768,8.14,2570,34063.0,1131780.0,309.17,1.26,1481002.0,0.793,1.993,2.786,0.0233,0.558,1
USA,2018,12.34,36.74,0.743,8.11,2284,5679.0,227630.0,960.72,0.79,217265.0,3.154,3.409,6.563,0.5554,0.63,1
Indonesia,2021,17.91,30.13,0.221,8.08,3575,17441.0,508110.0,1074.49,1.35,747079.0,17.646,43.059,60.705,1.0117,0.545,1
USA,2019,15.92,34.58,0.596,7.99,1329,19228.0,498242.0,253.48,1.82,976529.0,4.076,6.369,10.446,0.212,0.593,1
India,2022,20.12,35.4,1.008,7.97,900,40472.0,1866186.0,1425.34,0.41,833340.0,14.355,22.365,36.72,0.3547,0.63,1
Japan,2017,25.23,36.49,0.397,8.2,3783,15256.0,597296.0,961.73,1.05,657672.0,2.236,3.768,6.004,0.1466,0.599,1
Mexico,2018,24.51,35.22,1.661,7.92,16341,5465.0,75850.0,826.28,1.35,141605.0,1.483,1.933,3.416,0.2713,0.697,1
Iceland,2021,17.51,32.38,1.653,8.03,1416,39960.0,1037903.0,1288.83,1.18,1286494.0,0.668,1.175,1.843,0.0167,0.546,1
China,2012,19.33,33.9,7.986,8.31,29827,11302.0,399080.0,1155.04,0.68,359435.0,40.849,58.181,99.031,3.6142,0.786,1
Russia,2016,26.6,37.12,1.92,8.13,460,10615.0,384660.0,805.75,0.9,385037.0,3.957,2.898,6.855,0.3727,0.561,1
Russia,2020,25.58,37.75,1.368,8.24,26898,7248.0,148237.0,1077.16,1.74,278870.0,5.027,5.255,10.282,0.6936,0.706,1
Iceland,2018,26.97,33.18,1.066,8.03,783,20706.0,725261.0,366.88,1.56,1199398.0,1.376,1.091,2.468,0.0665,0.544,1
Norway,2011,22.26,37.51,1.479,8.41,1543,25447.0,438483.0,1657.92,0.95,453975.0,1.348,1.612,2.96,0.053,0.651,1
South Korea,2015,24.8,33.38,2.112,8.29,2035,22957.0,560490.0,495.48,1.64,963204.0,1.358,1.512,2.871,0.0592,0.656,1
Mexico,2012,25.93,36.98,3.525,8.14,3687,9570.0,146581.0,1536.44,0.78,185614.0,0.935,0.966,1.901,0.0977,0.684,1
Norway,2012,12.93,32.88,7.479,8.13,3891,41662.0,1756051.0,990.94,0.98,1784886.0,0.997,1.438,2.435,0.0239,0.542,1
Ecuador,2021,20.59,38.85,0.351,7.94,23777,15142.0,341148.0,875.41,0.83,365330.0,0.429,0.911,1.34,0.0283,0.596,1
Argentina,2017,18.86,37.1,0.577,8.18,19083,87457.0,964020.0,1184.7,1.23,1254766.0,1.815,3.195,5.01,0.0207,0.526,1
Morocco,2019,19.02,33.6,2.417,8.01,11210,25669.0,494151.0,896.42,0.96,502933.0,1.462,1.599,3.062,0.057,0.65,1
Malaysia,2012,27.96,32.48,2.078,8.22,2408,30905.0,1370355.0,1340.72,0.98,1414533.0,1.557,3.165,4.722,0.0504,0.565,1
South Korea,2017,27.76,36.08,2.66,7.86,37864,3868.0,112526.0,1559.78,0.97,111247.0,2.437,4.27,6.707,0.6298,0.636,1
Spain,2021,20.9,33.14,1.075,8.14,373,48693.0,971502.0,1022.3,1.29,1294965.0,2.079,1.654,3.733,0.0427,0.563,1
Spain,2022,28.76,32.13,0.268,8.16,121,60636.0,1832458.0,1013.25,0.86,1623981.0,2.16,3.233,5.394,0.0356,0.43,0
Spain,2014,14.23,38.49,4.052,8.02,6408,13564.0,487641.0,601.94,0.51,313496.0,1.063,1.653,2.716,0.0783,0.6,1
Russia,2010,17.86,36.59,0.885,8.01,2347,15206.0,285643.0,558.9,1.34,447394.0,2.168,2.068,4.236,0.1426,0.59,1
Malaysia,2010,21.4,36.48,1.034,7.89,468,4966.0,173080.0,818.14,1.3,299841.0,1.082,1.454,2.536,0.2178,0.697,1
USA,2022,19.76,35.55,0.978,8.16,2931,9769.0,308078.0,1655.14,1.29,435096.0,5.16,3.718,8.878,0.5282,0.64,1
Thailand,2019,19.37,37.06,0.345,7.94,4243,5850.0,126680.0,438.97,0.83,113818.0,0.696,2.001,2.697,0.119,0.617,1
Argentina,2011,21.57,32.91,0.31,8.19,1305,30223.0,451950.0,704.42,1.35,648742.0,0.557,0.527,1.084,0.0184,0.554,1
Morocco,2010,20.99,35.44,4.806,8.11,1142,9037.0,194832.0,547.7,0.72,165917.0,0.601,0.497,1.099,0.0665,0.649,1
Spain,2014,22.8,32.98,5.818,7.94,4957,81974.0,1542771.0,879.36,1.0,1570436.0,2.141,2.967,5.108,0.0261,0.537,1
Vietnam,2022,23.75,33.69,3.644,8.1,105903,25878.0,753314.0,2404.42,1.16,953746.0,8.625,12.098,20.723,0.3333,0.658,1
USA,2012,28.92,35.94,1.244,8.15,20428,37778.0,1313406.0,1222.26,1.36,1856307.0,2.144,2.967,5.111,0.0567,0.551,1
China,2019,25.92,38.84,1.148,8.24,33169,25889.0,996889.0,1027.86,0.78,786020.0,76.526,92.528,169.054,2.9558,0.737,1
China,2020,19.41,32.21,1.806,7.96,2223,14017.0,190501.0,739.02,0.88,217039.0,73.846,152.113,225.959,5.2678,0.83,1
Iceland,2023,23.6,38.31,1.15,8.3,370,25790.0,429391.0,969.6,1.38,668525.0,1.091,2.259,3.35,0.0423,0.65,1
Ecuador,2017,18.74,34.52,0.188,8.25,854,19089.0,452136.0,1625.41,1.18,594598.0,1.35,1.924,3.274,0.0707,0.589,1
Philippines,2012,25.46,36.17,0.449,7.72,1653,59972.0,2504272.0,1187.76,1.37,3500111.0,1.05,1.377,2.427,0.0175,0.506,1
Spain,2018,25.11,33.89,6.959,7.95,20690,7076.0,282881.0,1399.62,0.78,273722.0,1.242,2.255,3.496,0.1754,0.691,1
South Korea,2013,21.56,36.1,2.585,8.09,48206,27563.0,553659.0,653.31,1.16,705101.0,0.768,0.947,1.715,0.0279,0.646,1
Ecuador,2013,16.06,38.04,1.932,7.73,10898,12439.0,570918.0,1209.89,1.1,659800.0,1.699,2.207,3.905,0.1365,0.604,1
Morocco,2017,19.94,36.83,1.712,8.19,1958,6130.0,101883.0,1283.36,1.75,205089.0,1.266,1.033,2.299,0.2065,0.657,1
Norway,2015,24.6,33.54,6.622,8.11,9445,11989.0,265096.0,1314.96,1.95,590795.0,2.063,1.762,3.826,0.1721,0.652,1
Philippines,2014,22.38,35.25,0.28,8.18,15904,99513.0,3393284.0,5303.0,0.86,2983098.0,1.006,2.489,3.494,0.0101,0.426,0
Japan,2013,11.59,38.85,0.461,7.76,1470,3055.0,144543.0,1596.47,1.2,240049.0,1.356,4.289,5.644,0.4436,0.557,1
Thailand,2015,30.22,35.72,0.422,8.09,3062,35335.0,1221442.0,1043.17,0.72,915829.0,0.474,1.793,2.268,0.0134,0.48,0
Argentina,2019,21.37,38.15,1.029,8.12,1084,71507.0,1465623.0,986.05,1.04,1579363.0,0.919,1.348,2.267,0.0129,0.557,1
Iceland,2023,26.46,35.54,0.605,7.82,8609,344085.0,7357926.0,1997.84,1.22,8987549.0,1.393,1.614,3.007,0.004,0.425,0
Argentina,2010,27.04,33.1,0.82,8.14,444,7603.0,232758.0,774.92,1.28,339374.0,0.43,0.613,1.042,0.0565,0.611,1
Iceland,2022,27.33,34.36,0.76,8.08,9520,41397.0,679891.0,552.42,1.25,880268.0,2.702,5.231,7.933,0.0653,0.544,1
USA,2017,26.68,36.82,0.231,8.02,626,42828.0,2045840.0,669.09,1.2,2499767.0,3.063,5.343,8.406,0.0715,0.466,0
USA,2017,21.32,35.78,0.556,8.3,64,25373.0,897754.0,696.01,1.29,1192998.0,4.782,3.396,8.178,0.1885,0.597,1
Russia,2013,7.54,36.12,0.286,7.93,261,10497.0,505749.0,794.62,0.9,470100.0,1.63,4.892,6.522,0.1553,0.534,1
Chile,2022,23.47,38.33,0.276,8.27,1907,288102.0,4417694.0,732.36,0.9,4010985.0,3.751,3.627,7.378,0.013,0.419,0
India,2023,14.88,35.62,0.334,7.92,44271,10560.0,318749.0,2510.17,1.12,407522.0,8.541,31.75,40.291,0.8087,0.553,1
Morocco,2020,23.28,35.97,3.812,8.17,2450,66499.0,1928759.0,1331.67,1.17,2299347.0,2.01,2.294,4.304,0.0302,0.568,1
Spain,2021,23.22,36.98,0.805,8.21,1456,11501.0,562089.0,1143.77,0.64,412778.0,1.944,3.563,5.507,0.169,0.682,1
South Korea,2011,31.15,35.22,3.132,8.01,2901,17951.0,415901.0,1058.1,1.01,453383.0,0.391,0.704,1.095,0.0218,0.59,1
China,2021,15.61,37.56,1.923,8.24,2443,3625.0,117716.0,911.68,1.28,182301.0,86.299,144.703,231.003,23.8031,0.918,1
Vietnam,2019,26.48,35.04,0.936,8.4,12825,24782.0,508243.0,401.72,1.1,625271.0,8.575,9.042,17.616,0.346,0.586,1
Japan,2012,30.2,33.88,0.834,8.08,15309,10161.0,206753.0,2366.18,1.54,356856.0,1.764,4.6,6.365,0.1736,0.61,1
USA,2015,22.23,36.12,6.402,8.0,4849,3627.0,113642.0,609.1,1.1,225166.0,3.341,5.219,8.56,0.9209,0.72,1
Malaysia,2014,21.8,37.57,0.543,8.02,546,9403.0,388094.0,421.95,1.64,683350.0,1.29,1.405,2.695,0.1372,0.685,1
Thailand,2013,22.13,31.91,1.179,8.54,6244,20795.0,683083.0,1860.33,1.26,943069.0,0.676,0.563,1.238,0.0325,0.626,1
Russia,2020,25.11,34.24,1.727,7.95,459,3336.0,103556.0,813.86,0.86,158022.0,5.473,3.678,9.151,1.6402,0.677,1
Vietnam,2017,22.39,35.33,4.583,8.12,82152,31341.0,1299196.0,918.67,1.51,2009583.0,6.778,13.477,20.256,0.2163,0.644,1
Morocco,2023,21.99,36.92,1.769,7.76,972,26346.0,388887.0,1368.25,1.19,497889.0,1.52,1.721,3.241,0.0577,0.649,1
Indonesia,2013,17.04,36.87,2.224,8.29,3001,17281.0,269115.0,535.52,0.57,224658.0,14.105,15.305,29.409,0.8161,0.615,1
Japan,2022,17.08,34.18,2.734,7.87,16185,25706.0,267169.0,926.79,0.68,214326.0,4.74,7.429,12.169,0.1844,0.579,1
Mexico,2020,19.67,31.42,2.539,8.32,15151,109545.0,5105231.0,1389.25,1.01,5154317.0,2.503,2.812,5.315,0.0229,0.501,1
Norway,2023,24.52,38.9,2.787,7.97,3105,21007.0,470763.0,497.16,1.21,590499.0,2.909,3.165,6.074,0.1385,0.662,1
Thailand,2016,15.83,34.67,2.525,7.8,7383,16321.0,573447.0,840.65,1.18,757864.0,0.903,1.735,2.638,0.0553,0.594,1
Peru,2016,21.99,31.21,0.992,8.01,260,26675.0,788033.0,701.51,1.82,1489393.0,5.078,10.533,15.611,0.1904,0.652,1
USA,2022,15.1,37.14,0.276,8.21,11831,19401.0,297639.0,1967.31,1.08,369402.0,4.412,7.863,12.275,0.2274,0.518,1
Morocco,2016,24.4,33.2,0.381,8.32,12261,35857.0,1287054.0,1874.25,1.31,1713055.0,2.286,4.509,6.795,0.0638,0.555,1
Russia,2013,27.41,34.09,0.689,8.47,2549,11676.0,335806.0,1212.25,1.38,519550.0,2.686,6.381,9.067,0.23,0.609,1
Spain,2012,12.25,37.74,0.338,8.35,12317,8950.0,134340.0,622.42,1.1,200408.0,0.592,1.857,2.449,0.0661,0.534,1
South Korea,2017,27.5,34.96,1.008,8.45,593,27332.0,1298454.0,759.54,0.59,797448.0,2.267,3.791,6.058,0.0829,0.573,1
Ecuador,2017,28.18,31.13,0.467,7.92,3462,35623.0,622105.0,2317.76,1.05,695041.0,1.022,3.217,4.239,0.0287,0.48,0
Japan,2022,22.48,33.81,0.584,8.3,15398,3989.0,83648.0,1986.84,1.75,213648.0,3.882,5.001,8.884,0.973,0.721,1
Malaysia,2011,27.81,32.71,1.593,8.47,19242,44676.0,1937960.0,1789.32,1.06,2122564.0,1.272,1.308,2.58,0.0285,0.537,1
China,2014,16.03,35.57,0.429,8.21,2833,4470.0,208293.0,870.95,1.09,276695.0,52.179,48.281,100.46,11.6694,0.826,1
Spain,2012,30.11,35.94,0.414,8.39,6693,13257.0,347579.0,432.81,0.91,340069.0,0.373,0.651,1.024,0.0281,0.524,1
India,2021,25.45,35.53,1.93,8.09,502,63438.0,1112197.0,823.31,1.12,1319555.0,12.591,12.354,24.946,0.1985,0.575,1
Norway,2022,20.23,37.69,0.283,8.49,5556,61938.0,1278654.0,2283.66,1.18,1552993.0,1.01,1.558,2.568,0.0163,0.502,1
Chile,2023,31.72,34.31,0.625,8.03,1805,39139.0,741465.0,1264.26,1.3,998786.0,2.856,3.547,6.403,0.073,0.549,1
Peru,2010,7.32,36.38,0.924,8.0,92949,15177.0,154014.0,1489.38,1.07,194022.0,2.269,6.026,8.296,0.1495,0.599,1
Mexico,2022,17.48,34.81,2.268,8.13,39985,9557.0,186097.0,1151.59,1.15,254761.0,1.503,1.872,3.374,0.1572,0.611,1
Iceland,2021,21.1,33.69,0.444,8.06,881,35413.0,1358378.0,292.43,1.32,1826580.0,2.249,4.42,6.67,0.0635,0.556,1
Iceland,2022,30.88,34.08,0.463,8.21,23066,5548.0,71169.0,1440.71,0.55,88876.0,1.809,3.564,5.374,0.326,0.549,1
Norway,2021,22.79,34.57,2.554,8.43,21322,7390.0,101554.0,966.0,0.98,136129.0,2.285,2.283,4.568,0.3092,0.694,1
Japan,2011,20.67,37.07,0.569,8.18,514,214045.0,6575590.0,1087.56,1.17,7722890.0,2.404,2.15,4.555,0.0112,0.479,0
USA,2019,30.63,33.4,0.138,8.13,1015,99258.0,1108399.0,1491.57,1.0,1164050.0,2.874,3.52,6.394,0.029,0.352,0
Argentina,2022,11.91,29.34,2.257,8.13,2124,88347.0,3423256.0,975.79,1.99,6864030.0,2.068,6.203,8.27,0.0234,0.449,0
Russia,2019,15.13,36.41,8.627,8.04,726,28172.0,785293.0,734.26,0.99,843221.0,4.113,5.74,9.853,0.146,0.573,1
South Korea,2011,24.79,29.76,0.291,8.29,745,26983.0,1312253.0,1394.28,0.88,1225789.0,1.112,1.959,3.071,0.0412,0.572,1
Iceland,2021,17.19,32.65,0.454,8.28,16241,11222.0,238489.0,756.01,0.77,223244.0,0.473,1.345,1.818,0.0421,0.529,1
Morocco,2011,23.46,34.89,3.579,8.26,9732,28655.0,1001483.0,1054.91,1.22,1262992.0,0.537,1.008,1.544,0.0187,0.643,1
Japan,2019,22.12,35.98,1.729,8.21,1296,13860.0,666532.0,1611.02,1.92,1351102.0,4.021,2.619,6.64,0.2901,0.611,1
Norway,2016,22.61,33.89,1.462,8.07,4558,37581.0,1605668.0,730.38,1.31,2137329.0,0.851,1.61,2.461,0.0226,0.626,1
China,2012,25.31,35.98,0.27,8.15,1082,35406.0,731105.0,2283.77,1.38,1065954.0,33.892,79.042,112.934,0.9572,0.583,1
China,2017,27.1,36.1,0.414,7.89,3539,26391.0,347384.0,689.36,1.16,454718.0,64.428,127.193,191.621,2.4412,0.57,1
Mexico,2013,21.36,33.15,0.314,8.24,7529,5957.0,70181.0,439.32,1.08,89879.0,0.327,0.613,0.939,0.0548,0.615,1
Malaysia,2010,21.43,32.24,0.253,7.83,122980,52051.0,2179612.0,1884.86,1.03,2287912.0,0.285,0.506,0.791,0.0055,0.521,1
Spain,2012,21.2,34.87,4.283,7.95,1873,9095.0,258547.0,845.31,1.35,358980.0,0.671,0.751,1.422,0.0738,0.684,1
Spain,2014,15.02,33.58,0.769,7.78,983,42291.0,1622785.0,1065.85,1.1,1820093.0,2.092,1.917,4.009,0.0495,0.525,1
Indonesia,2022,27.78,35.61,0.781,8.36,802,41258.0,621576.0,953.6,1.19,763950.0,21.069,23.478,44.547,0.5107,0.558,1
South Korea,2015,21.47,34.92,0.047,8.02,350,25195.0,362887.0,1898.99,1.09,449808.0,1.53,1.438,2.967,0.0607,0.564,1
Mexico,2020,27.05,35.5,4.959,8.06,794,26552.0,1117123.0,1472.27,0.55,649959.0,1.214,2.642,3.856,0.0457,0.573,1
Peru,2011,8.88,40.1,1.701,8.13,17541,229499.0,2756953.0,781.65,1.32,3696519.0,2.481,3.845,6.325,0.0108,0.425,0
South Korea,2014,23.34,29.85,0.736,7.99,3738,23031.0,715819.0,2056.05,0.83,646380.0,0.699,0.869,1.568,0.0304,0.655,1
Spain,2016,15.03,33.81,0.801,8.03,3230,58198.0,1193458.0,406.34,1.15,1432447.0,0.717,0.986,1.703,0.0123,0.509,1
Vietnam,2020,27.23,34.4,0.601,8.64,10308,6816.0,288823.0,460.66,1.05,351313.0,6.965,15.53,22.494,1.0217,0.642,1
Philippines,2011,3.46,38.51,1.0,8.06,4854,20332.0,332758.0,660.71,0.65,298162.0,0.473,0.734,1.207,0.0233,0.585,1
Morocco,2019,16.71,32.61,0.736,8.12,809,15948.0,368566.0,1476.23,1.12,445114.0,1.355,3.144,4.499,0.085,0.596,1
